"mydate","v1","v2","v3","v4","v5","v6","mys"
"2021/10/12(二)","01","06","14","26","28","31","30"
"2021/10/08(五)","18","19","20","34","37","44","10"
"2021/10/05(二)","01","03","11","23","46","47","45"
"2021/10/01(五)","02","09","16","22","41","49","07"
"2021/09/28(二)","23","24","27","36","47","49","40"
"2021/09/24(五)","04","10","21","30","39","42","22"
"2021/09/21(二)","02","13","16","28","31","34","21"
"2021/09/17(五)","07","12","18","35","37","45","44"
"2021/09/14(二)","09","13","18","22","40","41","49"
"2021/09/10(五)","01","05","15","16","28","41","44"
"2021/09/07(二)","04","20","26","27","45","48","37"
"2021/09/03(五)","01","18","21","24","32","41","12"
"2021/08/31(二)","07","14","23","43","47","49","48"
"2021/08/27(五)","08","11","16","32","35","43","41"
"2021/08/24(二)","01","05","17","36","40","41","38"
"2021/08/20(五)","03","06","11","13","18","37","46"
"2021/08/17(二)","02","11","29","33","41","44","40"
"2021/08/13(五)","05","06","19","24","33","41","03"
"2021/08/10(二)","01","03","16","17","24","25","46"
"2021/08/06(五)","03","04","15","29","32","39","38"
"2021/08/03(二)","17","27","30","38","42","44","24"
"2021/07/30(五)","02","15","19","29","43","46","23"
"2021/07/27(二)","03","28","30","42","43","46","15"
"2021/07/23(五)","07","15","23","24","31","38","09"
"2021/07/20(二)","01","08","32","41","44","49","23"
"2021/07/16(五)","13","16","17","19","39","44","42"
"2021/07/13(二)","09","14","17","23","33","48","04"
"2021/07/09(五)","03","13","24","26","27","29","09"
"2021/07/06(二)","13","19","25","32","42","44","02"
"2021/07/02(五)","04","09","11","25","27","29","22"
"2021/06/29(二)","01","23","25","30","38","45","14"
"2021/06/25(五)","01","04","09","37","38","41","40"
"2021/06/22(二)","14","17","27","43","45","48","41"
"2021/06/18(五)","02","18","22","25","41","43","14"
"2021/06/15(二)","09","11","23","34","41","45","49"
"2021/06/11(五)","07","09","16","23","27","44","46"
"2021/06/08(二)","04","06","26","36","38","47","43"
"2021/06/04(五)","07","08","24","28","32","41","10"
"2021/06/01(二)","01","02","09","26","35","41","46"
"2021/05/28(五)","04","12","18","23","43","46","07"
"2021/05/25(二)","15","31","38","44","46","48","21"
"2021/05/21(五)","02","04","25","26","27","29","41"
"2021/05/18(二)","11","15","16","18","35","43","46"
"2021/05/14(五)","02","13","14","30","43","48","17"
"2021/05/11(二)","05","07","09","27","35","42","19"
"2021/05/07(五)","12","22","26","35","36","49","32"
"2021/05/04(二)","05","15","17","19","27","37","42"
"2021/04/30(五)","04","14","22","42","46","47","21"
"2021/04/27(二)","05","08","20","23","34","39","31"
"2021/04/23(五)","18","20","23","32","37","46","39"
"2021/04/20(二)","05","07","09","15","24","26","12"
"2021/04/16(五)","07","10","16","21","33","46","02"
"2021/04/13(二)","11","25","31","32","35","42","41"
"2021/04/09(五)","06","09","18","25","29","35","46"
"2021/04/06(二)","01","22","26","28","34","38","35"
"2021/04/02(五)","17","21","25","30","40","42","26"
"2021/03/30(二)","17","22","23","25","31","33","03"
"2021/03/26(五)","15","21","24","30","37","38","34"
"2021/03/23(二)","02","15","28","43","45","49","35"
"2021/03/19(五)","07","19","28","35","38","48","08"
"2021/03/16(二)","08","19","22","24","30","43","13"
"2021/03/12(五)","08","21","26","30","33","46","45"
"2021/03/09(二)","08","09","13","29","36","46","23"
"2021/03/05(五)","06","08","14","29","38","48","35"
"2021/03/02(二)","05","07","11","24","27","30","12"
"2021/02/26(五)","04","13","22","23","39","42","26"
"2021/02/23(二)","01","06","18","19","20","42","43"
"2021/02/21(日)","09","18","25","27","32","39","40"
"2021/02/20(六)","01","06","10","11","26","47","22"
"2021/02/19(五)","02","28","31","36","40","45","24"
"2021/02/18(四)","01","03","09","41","42","48","27"
"2021/02/17(三)","02","13","24","26","45","49","10"
"2021/02/16(二)","01","09","11","12","37","46","43"
"2021/02/15(一)","04","08","10","18","33","40","02"
"2021/02/14(日)","01","12","16","17","38","45","32"
"2021/02/13(六)","13","30","37","40","43","46","05"
"2021/02/12(五)","05","06","10","12","44","48","36"
"2021/02/11(四)","07","17","18","26","41","47","39"
"2021/02/10(三)","03","18","24","34","41","42","37"
"2021/02/09(二)","01","03","06","12","27","43","02"
"2021/02/05(五)","05","09","19","31","33","35","32"
"2021/02/02(二)","14","34","35","38","43","47","40"
"2021/01/29(五)","14","22","30","31","39","40","49"
"2021/01/26(二)","08","20","23","37","43","46","44"
"2021/01/22(五)","07","30","34","36","45","46","43"
"2021/01/19(二)","15","29","31","33","41","47","37"
"2021/01/15(五)","03","04","08","11","42","44","21"
"2021/01/12(二)","01","10","20","28","37","44","33"
"2021/01/08(五)","04","18","24","26","43","47","33"
"2021/01/05(二)","08","13","17","20","43","48","38"
"2021/01/01(五)","05","37","41","42","46","49","18"
"2020/12/29(二)","10","14","33","34","35","39","40"
"2020/12/25(五)","01","05","06","19","29","30","39"
"2020/12/22(二)","20","22","25","30","31","45","02"
"2020/12/18(五)","02","11","24","26","30","41","01"
"2020/12/15(二)","02","06","17","21","43","48","41"
"2020/12/11(五)","08","17","36","37","42","43","34"
"2020/12/08(二)","02","04","10","15","31","45","17"
"2020/12/04(五)","02","13","27","30","41","44","40"
"2020/12/01(二)","04","22","29","37","44","49","30"
"2020/11/27(五)","01","19","26","30","35","48","11"
"2020/11/24(二)","05","29","36","38","44","45","23"
"2020/11/20(五)","16","27","29","35","37","48","31"
"2020/11/17(二)","06","14","18","20","38","41","29"
"2020/11/13(五)","07","09","12","15","25","29","47"
"2020/11/10(二)","05","17","19","21","28","29","43"
"2020/11/06(五)","05","09","25","39","44","46","02"
"2020/11/03(二)","06","11","15","30","32","44","29"
"2020/10/30(五)","06","10","13","19","40","45","07"
"2020/10/27(二)","02","09","19","28","30","32","35"
"2020/10/23(五)","03","09","20","25","26","35","39"
