"mydate","v1","v2","v3","v4","v5","v6","mys"
2008-10-09,"20","25","26","32","36","37","07"
2008-10-13,"02","09","10","14","15","26","04"
2008-10-16,"02","03","18","33","36","37","05"
2008-10-20,"07","10","17","28","32","36","03"
2008-10-23,"01","06","14","17","26","38","03"
2008-10-27,"04","05","09","22","28","30","04"
2008-10-30,"08","11","16","22","28","35","06"
2008-11-03,"04","08","09","18","23","36","04"
2008-11-06,"01","05","12","27","34","38","03"
2008-11-10,"18","22","25","29","32","38","06"
2008-11-13,"05","10","24","28","33","38","06"
2008-11-17,"01","09","14","24","30","37","04"
2008-11-20,"05","14","17","19","35","36","01"
2008-11-24,"10","15","20","22","24","25","02"
2008-11-27,"03","14","26","30","35","37","07"
2008-12-01,"07","10","23","26","28","34","04"
2008-12-04,"05","11","14","16","18","30","03"
2008-12-08,"08","12","13","16","20","32","06"
2008-12-11,"17","18","24","26","30","31","02"
2008-12-15,"06","08","10","13","18","36","06"
2008-12-18,"03","08","11","26","34","38","08"
2008-12-22,"22","25","30","32","33","35","02"
2008-12-25,"06","07","11","14","33","37","06"
2008-12-29,"02","10","15","19","28","31","01"
2009-01-01,"01","11","25","28","35","36","07"
2009-01-05,"05","24","27","28","29","32","04"
2009-01-08,"04","05","12","18","24","28","01"
2009-01-12,"09","13","14","23","29","36","08"
2009-01-15,"03","15","17","28","29","37","04"
2009-01-19,"01","03","04","12","21","31","08"
2009-01-22,"07","10","11","23","24","35","08"
2009-01-26,"02","06","17","18","29","34","05"
2009-01-29,"04","07","15","16","23","28","07"
2009-02-02,"06","18","20","24","31","32","06"
2009-02-05,"08","20","23","24","34","37","01"
2009-02-09,"03","10","11","15","20","33","03"
2009-02-12,"04","12","24","29","35","37","07"
2009-02-16,"02","20","21","22","25","38","03"
2009-02-19,"01","02","08","17","21","31","01"
2009-02-23,"13","18","30","33","35","38","03"
2009-02-26,"04","05","07","13","15","38","04"
2009-03-02,"03","04","21","23","24","27","06"
2009-03-05,"01","05","13","19","28","37","03"
2009-03-09,"06","08","16","23","31","38","03"
2009-03-12,"01","03","16","23","32","34","03"
2009-03-16,"16","18","23","28","36","37","06"
2009-03-19,"05","08","20","24","28","36","05"
2009-03-23,"03","04","09","25","34","37","05"
2009-03-26,"09","10","25","26","32","34","02"
2009-03-30,"14","20","31","35","36","37","03"
2009-04-02,"07","14","21","27","32","34","03"
2009-04-06,"07","09","10","11","19","32","02"
2009-04-09,"03","08","10","14","29","30","03"
2009-04-13,"02","14","16","19","27","35","05"
2009-04-16,"06","10","14","15","16","17","02"
2009-04-20,"05","20","24","26","31","36","01"
2009-04-23,"05","06","07","17","33","35","03"
2009-04-27,"01","03","10","20","24","32","04"
2009-04-30,"12","13","29","33","37","38","08"
2009-05-04,"03","24","25","27","35","36","08"
2009-05-07,"03","04","07","09","27","28","08"
2009-05-11,"02","08","09","17","37","38","04"
2009-05-14,"08","13","20","23","31","35","05"
2009-05-18,"06","07","09","10","13","26","07"
2009-05-21,"05","09","17","29","34","35","07"
2009-05-25,"04","16","17","22","29","38","03"
2009-05-28,"01","07","15","16","25","31","04"
2009-06-01,"06","14","16","17","26","35","07"
2009-06-04,"12","18","19","20","24","34","07"
2009-06-08,"06","07","18","26","27","31","02"
2009-06-11,"01","04","16","18","20","32","07"
2009-06-15,"03","10","17","19","23","25","04"
2009-06-18,"05","16","17","24","34","38","08"
2009-06-22,"04","13","14","16","21","29","07"
2009-06-25,"06","10","25","31","35","38","07"
2009-06-29,"01","14","20","21","25","26","05"
2009-07-02,"06","15","16","27","34","37","06"
2009-07-06,"03","04","05","09","24","33","05"
2009-07-09,"04","08","12","23","25","33","02"
2009-07-13,"06","23","26","34","36","38","04"
2009-07-16,"09","10","23","26","31","34","01"
2009-07-20,"02","15","19","22","29","33","04"
2009-07-23,"13","26","32","33","36","37","07"
2009-07-27,"12","13","16","25","31","36","04"
2009-07-30,"11","13","15","18","24","25","04"
2009-08-03,"04","15","17","24","26","38","08"
2009-08-06,"03","04","05","13","32","35","08"
2009-08-10,"06","11","15","18","23","30","03"
2009-08-13,"03","05","08","23","24","31","08"
2009-08-17,"09","21","25","27","29","36","08"
2009-08-20,"08","22","25","26","33","38","04"
2009-08-24,"13","15","24","26","28","36","05"
2009-08-27,"01","04","07","16","18","30","02"
2009-08-31,"04","08","18","25","30","33","08"
2009-09-03,"01","07","10","11","16","28","03"
2009-09-07,"01","10","13","18","19","24","03"
2009-09-10,"01","11","13","18","23","24","03"
2009-09-14,"03","06","08","15","24","31","08"
2009-09-17,"03","06","22","24","31","32","06"
2009-09-21,"04","07","09","10","16","33","07"
2009-09-24,"02","06","14","30","33","34","02"
2009-09-28,"07","08","12","13","16","22","07"
2009-10-01,"06","18","19","21","27","38","04"
2009-10-05,"04","08","16","19","22","33","01"
2009-10-08,"01","13","20","21","26","32","07"
2009-10-12,"04","10","16","22","34","38","02"
2009-10-15,"07","10","14","25","28","31","01"
2009-10-19,"02","04","12","21","25","30","07"
2009-10-22,"05","07","18","19","30","35","08"
2009-10-26,"03","04","09","12","24","32","05"
2009-10-29,"11","12","16","19","20","27","04"
2009-11-02,"08","10","11","14","20","23","06"
2009-11-05,"03","05","21","23","31","36","06"
2009-11-09,"01","18","24","29","32","38","05"
2009-11-12,"03","06","19","22","28","35","03"
2009-11-16,"10","15","18","23","30","34","07"
2009-11-19,"05","10","21","22","26","35","06"
2009-11-23,"01","02","15","16","26","29","04"
2009-11-26,"13","20","21","24","30","36","03"
2009-11-30,"01","06","10","17","19","28","01"
2009-12-03,"17","18","22","24","25","30","05"
2009-12-07,"04","05","12","25","34","38","01"
2009-12-10,"11","12","19","22","23","28","04"
2009-12-14,"04","05","10","16","17","20","06"
2009-12-17,"16","19","20","23","26","28","01"
2009-12-21,"03","15","17","20","23","29","08"
2009-12-24,"14","18","20","32","35","37","07"
2009-12-28,"10","12","15","17","25","34","05"
2009-12-31,"14","22","25","27","29","32","01"
2010-01-04,"13","20","25","27","30","32","07"
2010-01-07,"01","20","26","33","36","37","07"
2010-01-11,"15","21","23","25","26","34","03"
2010-01-14,"01","02","07","22","27","32","04"
2010-01-18,"09","11","24","25","26","38","04"
2010-01-21,"04","10","16","17","29","36","08"
2010-01-25,"07","10","14","24","27","34","02"
2010-01-28,"03","06","16","17","27","35","02"
2010-02-01,"03","05","19","29","31","38","07"
2010-02-04,"10","16","17","20","25","38","04"
2010-02-08,"07","12","16","17","19","21","06"
2010-02-11,"06","13","16","18","19","34","01"
2010-02-15,"02","12","23","26","28","29","05"
2010-02-18,"02","04","11","14","24","36","06"
2010-02-22,"03","11","17","23","24","34","05"
2010-02-25,"09","26","32","33","37","38","01"
2010-03-01,"03","10","12","14","19","37","04"
2010-03-04,"10","16","18","24","34","38","05"
2010-03-08,"03","05","09","27","30","33","06"
2010-03-11,"14","16","17","19","35","37","08"
2010-03-15,"12","13","18","30","32","36","05"
2010-03-18,"07","11","18","20","26","32","05"
2010-03-22,"02","04","11","14","35","36","01"
2010-03-25,"19","23","26","27","33","37","03"
2010-03-29,"11","23","28","31","36","37","03"
2010-04-01,"14","16","23","24","27","31","07"
2010-04-05,"02","18","19","20","26","37","08"
2010-04-08,"02","07","20","23","25","36","03"
2010-04-12,"08","11","12","30","33","34","02"
2010-04-15,"01","06","19","24","30","37","01"
2010-04-19,"01","03","06","13","29","38","03"
2010-04-22,"08","16","21","29","30","37","02"
2010-04-26,"03","08","21","33","35","38","01"
2010-04-29,"10","12","16","21","28","29","03"
2010-05-03,"01","04","09","16","27","33","05"
2010-05-06,"03","11","13","23","30","32","06"
2010-05-10,"17","18","23","26","28","29","01"
2010-05-13,"07","11","14","23","31","34","04"
2010-05-17,"01","02","03","29","33","35","05"
2010-05-20,"12","13","14","19","35","38","02"
2010-05-24,"01","03","12","16","24","29","07"
2010-05-27,"06","07","08","16","20","36","01"
2010-05-31,"01","04","08","17","30","34","04"
2010-06-03,"04","09","21","30","33","34","02"
2010-06-07,"03","14","21","22","24","28","05"
2010-06-10,"09","17","20","27","28","38","06"
2010-06-14,"03","07","15","16","24","33","03"
2010-06-17,"01","05","06","13","22","27","08"
2010-06-21,"01","09","22","27","30","38","01"
2010-06-24,"12","14","19","32","34","36","03"
2010-06-28,"03","07","10","22","27","34","01"
2010-07-01,"03","04","06","11","14","19","06"
2010-07-05,"01","03","18","25","35","37","05"
2010-07-08,"06","22","23","24","25","29","03"
2010-07-12,"01","03","17","20","25","27","01"
2010-07-15,"02","11","14","22","23","29","07"
2010-07-19,"12","15","16","19","26","38","06"
2010-07-22,"05","08","14","16","35","37","03"
2010-07-26,"05","14","27","31","34","36","04"
2010-07-29,"08","14","18","21","36","38","08"
2010-08-02,"03","05","17","21","22","24","07"
